seed,enable_roads,law_every,law_horizon,n_sqrt,step,n_agents,housed_frac,mean_height,max_height,pct_laws,n_roads,height_p10,height_p50,height_p90,elapsed_s
42,true,5,7,6,1,550,1.0,1.8518518518518519,7,0.0,0,1.0,1.0,4.0,0.03862404823303223
42,true,5,7,6,2,600,1.0,1.8808777429467085,7,0.0,0,1.0,1.0,4.0,0.003147125244140625
42,true,5,7,6,3,650,1.0,1.9578313253012047,7,0.0,0,1.0,1.0,4.0,0.003153085708618164
42,true,5,7,6,4,700,1.0,2.0,7,0.0,0,1.0,1.0,4.0,0.0042040348052978516
42,true,5,7,6,5,750,1.0,2.043596730245232,7,0.0,0,1.0,1.0,4.0,0.003905057907104492
42,true,5,7,6,6,800,1.0,2.056555269922879,7,38.888888888888886,0,1.0,1.0,4.2000000000000455,0.07316088676452637
42,true,5,7,6,7,850,1.0,2.119700748129676,8,38.888888888888886,0,1.0,1.0,5.0,0.0029578208923339844
42,true,5,7,6,8,900,1.0,2.127659574468085,8,38.888888888888886,0,1.0,1.0,5.0,0.002975940704345703
42,true,5,7,6,9,950,1.0,2.1541950113378685,8,38.888888888888886,0,1.0,2.0,5.0,0.0031790733337402344
42,true,5,7,6,10,1000,1.0,2.192982456140351,8,38.888888888888886,0,1.0,2.0,5.0,0.00321197509765625
42,true,5,7,6,11,1050,1.0,2.20125786163522,9,55.55555555555556,2,1.0,2.0,5.0,0.07600712776184082
42,true,5,7,6,12,1100,1.0,2.217741935483871,9,55.55555555555556,2,1.0,2.0,5.0,0.0031239986419677734
42,true,5,7,6,13,1150,1.0,2.24609375,9,55.55555555555556,2,1.0,2.0,5.0,0.0035729408264160156
42,true,5,7,6,14,1200,1.0,2.25140712945591,9,55.55555555555556,2,1.0,2.0,5.0,0.004148960113525391
42,true,5,7,6,15,1250,1.0,2.268602540834846,9,55.55555555555556,2,1.0,2.0,5.0,0.003000974655151367
42,true,5,7,6,16,1300,1.0,2.260869565217391,9,66.66666666666667,2,1.0,2.0,5.0,0.07431793212890625
42,true,5,7,6,17,1350,1.0,2.284263959390863,9,66.66666666666667,2,1.0,2.0,5.0,0.0047969818115234375
42,true,5,7,6,18,1400,1.0,2.2913256955810146,9,66.66666666666667,2,1.0,2.0,5.0,0.003297090530395508
42,true,5,7,6,19,1450,1.0,2.305246422893482,9,66.66666666666667,2,1.0,2.0,5.0,0.0032601356506347656
42,true,5,7,6,20,1500,1.0,2.314814814814815,9,66.66666666666667,2,1.0,2.0,5.0,0.003551006317138672
42,true,5,7,6,21,1550,1.0,2.3273273273273274,9,77.77777777777777,3,1.0,2.0,5.0,0.07814908027648926
42,true,5,7,6,22,1600,1.0,2.359882005899705,9,77.77777777777777,3,1.0,2.0,5.0,0.003381013870239258
42,true,5,7,6,23,1650,1.0,2.377521613832853,9,77.77777777777777,3,1.0,2.0,5.0,0.0031180381774902344
42,true,5,7,6,24,1700,1.0,2.401129943502825,9,77.77777777777777,3,1.0,2.0,5.0,0.0037851333618164062
42,true,5,7,6,25,1750,1.0,2.4271844660194173,9,77.77777777777777,3,1.0,2.0,5.0,0.0040950775146484375
42,true,5,7,6,26,1800,1.0,2.459016393442623,10,80.55555555555556,3,1.0,2.0,5.0,0.07484817504882812
42,true,5,7,6,27,1850,1.0,2.496626180836707,10,80.55555555555556,3,1.0,2.0,5.0,0.005457878112792969
42,true,5,7,6,28,1900,1.0,2.509907529722589,10,80.55555555555556,3,1.0,2.0,5.0,0.0034050941467285156
42,true,5,7,6,29,1950,1.0,2.5390625,10,80.55555555555556,3,1.0,2.0,5.0,0.0034749507904052734
42,true,5,7,6,30,2000,1.0,2.5806451612903225,10,80.55555555555556,3,1.0,2.0,5.0,0.003445148468017578
