seed,enable_roads,law_every,law_horizon,n_sqrt,step,n_agents,housed_frac,mean_height,max_height,pct_laws,n_roads,height_p10,height_p50,height_p90,elapsed_s
42,true,5,15,10,1,550,1.0,1.3095238095238095,5,0.0,0,1.0,1.0,2.0,0.09094595909118652
42,true,5,15,10,2,600,1.0,1.3544018058690745,5,0.0,0,1.0,1.0,2.0,0.008214950561523438
42,true,5,15,10,3,650,1.0,1.368421052631579,5,0.0,0,1.0,1.0,2.0,0.008670806884765625
42,true,5,15,10,4,700,1.0,1.3944223107569722,5,0.0,0,1.0,1.0,2.0,0.009036064147949219
42,true,5,15,10,5,750,1.0,1.4204545454545454,6,0.0,0,1.0,1.0,2.0,0.010200977325439453
42,true,5,15,10,6,800,1.0,1.4388489208633093,6,26.0,0,1.0,1.0,2.0,0.3042011260986328
42,true,5,15,10,7,850,1.0,1.4655172413793103,6,26.0,0,1.0,1.0,2.0,0.007359981536865234
42,true,5,15,10,8,900,1.0,1.490066225165563,6,26.0,0,1.0,1.0,3.0,0.010257959365844727
42,true,5,15,10,9,950,1.0,1.5007898894154819,6,26.0,0,1.0,1.0,3.0,0.011130809783935547
42,true,5,15,10,10,1000,1.0,1.5197568389057752,7,26.0,0,1.0,1.0,3.0,0.008107185363769531
42,true,5,15,10,11,1050,1.0,1.530612244897959,7,43.0,3,1.0,1.0,3.0,0.308941125869751
42,true,5,15,10,12,1100,1.0,1.5427769985974755,8,43.0,3,1.0,1.0,3.0,0.008538007736206055
42,true,5,15,10,13,1150,1.0,1.5519568151147098,8,43.0,3,1.0,1.0,3.0,0.007972955703735352
42,true,5,15,10,14,1200,1.0,1.5584415584415585,8,43.0,3,1.0,1.0,3.0,0.008352994918823242
42,true,5,15,10,15,1250,1.0,1.5762925598991173,8,43.0,3,1.0,1.0,3.0,0.007701873779296875
42,true,5,15,10,16,1300,1.0,1.6009852216748768,9,50.0,3,1.0,1.0,3.0,0.318648099899292
42,true,5,15,10,17,1350,1.0,1.6148325358851674,9,50.0,3,1.0,1.0,3.0,0.007977962493896484
42,true,5,15,10,18,1400,1.0,1.633605600933489,9,50.0,3,1.0,1.0,3.0,0.008562088012695312
42,true,5,15,10,19,1450,1.0,1.6439909297052153,9,50.0,3,1.0,1.0,3.0,0.00963592529296875
42,true,5,15,10,20,1500,1.0,1.6538037486218302,9,50.0,3,1.0,1.0,3.0,0.00942683219909668
42,true,5,15,10,21,1550,1.0,1.6702586206896552,9,60.0,10,1.0,1.0,3.0,0.36132311820983887
42,true,5,15,10,22,1600,1.0,1.6877637130801688,9,60.0,10,1.0,1.0,3.0,0.012681007385253906
42,true,5,15,10,23,1650,1.0,1.7045454545454546,9,60.0,10,1.0,1.0,3.0,0.007330894470214844
42,true,5,15,10,24,1700,1.0,1.7,9,60.0,10,1.0,1.0,3.0,0.007009029388427734
42,true,5,15,10,25,1750,1.0,1.717369970559372,9,60.0,10,1.0,1.0,3.0,0.00710606575012207
42,true,5,15,10,26,1800,1.0,1.7408123791102514,9,64.0,10,1.0,1.0,3.0,0.2866940498352051
42,true,5,15,10,27,1850,1.0,1.7469310670443814,9,64.0,10,1.0,1.0,3.0,0.008365154266357422
42,true,5,15,10,28,1900,1.0,1.7641597028783658,9,64.0,10,1.0,1.0,3.0,0.007703065872192383
42,true,5,15,10,29,1950,1.0,1.771117166212534,9,64.0,10,1.0,1.0,3.0,0.007405996322631836
42,true,5,15,10,30,2000,1.0,1.7873100983020553,9,64.0,10,1.0,1.0,3.0,0.011422157287597656
42,true,5,15,10,31,2050,1.0,1.7982456140350878,9,74.0,13,1.0,1.0,3.0,0.2930629253387451
42,true,5,15,10,32,2100,1.0,1.7994858611825193,9,74.0,13,1.0,1.0,3.0,0.010457038879394531
42,true,5,15,10,33,2150,1.0,1.8158783783783783,9,74.0,13,1.0,1.0,4.0,0.010861873626708984
42,true,5,15,10,34,2200,1.0,1.8257261410788381,9,74.0,13,1.0,1.0,4.0,0.009900093078613281
42,true,5,15,10,35,2250,1.0,1.829268292682927,9,74.0,13,1.0,1.0,4.0,0.01003408432006836
42,true,5,15,10,36,2300,1.0,1.8326693227091633,9,81.0,13,1.0,1.0,4.0,0.3183729648590088
42,true,5,15,10,37,2350,1.0,1.841692789968652,9,81.0,13,1.0,1.0,4.0,0.007828950881958008
42,true,5,15,10,38,2400,1.0,1.8475750577367205,9,81.0,13,1.0,1.0,4.0,0.0075070858001708984
42,true,5,15,10,39,2450,1.0,1.8617021276595744,9,81.0,13,1.0,1.0,4.0,0.008444070816040039
42,true,5,15,10,40,2500,1.0,1.8726591760299625,9,81.0,13,1.0,1.0,4.0,0.007651090621948242
42,true,5,15,10,41,2550,1.0,1.8833087149187593,9,85.0,16,1.0,1.0,4.0,0.3167140483856201
42,true,5,15,10,42,2600,1.0,1.8909090909090909,9,85.0,16,1.0,1.0,4.0,0.00817108154296875
42,true,5,15,10,43,2650,1.0,1.8996415770609318,9,85.0,16,1.0,1.0,4.0,0.008589029312133789
42,true,5,15,10,44,2700,1.0,1.9135364989369241,9,85.0,16,1.0,1.0,4.0,0.0074040889739990234
42,true,5,15,10,45,2750,1.0,1.9271198318149965,9,85.0,16,1.0,1.0,4.0,0.00837397575378418
42,true,5,15,10,46,2800,1.0,1.9310344827586208,9,91.0,16,1.0,1.0,4.0,0.321943998336792
42,true,5,15,10,47,2850,1.0,1.9440654843110505,9,91.0,16,1.0,1.0,4.0,0.009012937545776367
42,true,5,15,10,48,2900,1.0,1.9515477792732168,9,91.0,16,1.0,1.0,4.0,0.009707927703857422
42,true,5,15,10,49,2950,1.0,1.9601328903654485,9,91.0,16,1.0,1.0,4.0,0.007441997528076172
42,true,5,15,10,50,3000,1.0,1.9697964543663822,9,91.0,16,1.0,1.0,4.0,0.007969856262207031
42,true,5,15,10,51,3050,1.0,1.9715578539107952,9,93.0,20,1.0,1.0,4.0,0.3398621082305908
42,true,5,15,10,52,3100,1.0,1.983365323096609,9,93.0,20,1.0,1.0,4.0,0.008938074111938477
42,true,5,15,10,53,3150,1.0,2.0,9,93.0,20,1.0,1.0,4.0,0.007533073425292969
42,true,5,15,10,54,3200,1.0,2.0050125313283207,9,93.0,20,1.0,1.0,4.0,0.007695913314819336
42,true,5,15,10,55,3250,1.0,2.0198881292728403,9,93.0,20,1.0,1.0,4.0,0.008545875549316406
42,true,5,15,10,56,3300,1.0,2.029520295202952,9,97.0,20,1.0,1.0,4.0,0.382735013961792
42,true,5,15,10,57,3350,1.0,2.0389531345100425,9,97.0,20,1.0,1.0,4.0,0.007901191711425781
42,true,5,15,10,58,3400,1.0,2.042042042042042,9,97.0,20,1.0,1.0,4.0,0.008054018020629883
42,true,5,15,10,59,3450,1.0,2.0474777448071215,9,97.0,20,1.0,1.0,4.0,0.015264034271240234
42,true,5,15,10,60,3500,1.0,2.056404230317274,9,97.0,20,1.0,1.0,4.0,0.010567903518676758
42,true,5,15,10,61,3550,1.0,2.0663562281722934,9,98.0,26,1.0,1.0,4.0,0.36767101287841797
42,true,5,15,10,62,3600,1.0,2.0761245674740483,9,98.0,26,1.0,1.0,4.0,0.01060795783996582
42,true,5,15,10,63,3650,1.0,2.0821448944666288,9,98.0,26,1.0,1.0,4.0,0.012055158615112305
42,true,5,15,10,64,3700,1.0,2.096317280453258,9,98.0,26,1.0,2.0,4.0,0.011655092239379883
42,true,5,15,10,65,3750,1.0,2.1043771043771042,9,98.0,26,1.0,2.0,4.0,0.01102900505065918
42,true,5,15,10,66,3800,1.0,2.108768035516093,9,99.0,26,1.0,2.0,4.0,0.341386079788208
42,true,5,15,10,67,3850,1.0,2.1258972943125345,9,99.0,26,1.0,2.0,4.0,0.010370969772338867
42,true,5,15,10,68,3900,1.0,2.12882096069869,9,99.0,26,1.0,2.0,4.0,0.008341073989868164
42,true,5,15,10,69,3950,1.0,2.1374458874458875,9,99.0,26,1.0,2.0,4.0,0.010592937469482422
42,true,5,15,10,70,4000,1.0,2.1447721179624666,9,99.0,26,1.0,2.0,4.0,0.00884699821472168
42,true,5,15,10,71,4050,1.0,2.1508231545406264,9,99.0,34,1.0,2.0,4.0,0.3572838306427002
42,true,5,15,10,72,4100,1.0,2.1578947368421053,9,99.0,34,1.0,2.0,4.0,0.008849859237670898
42,true,5,15,10,73,4150,1.0,2.1625846795205836,9,99.0,34,1.0,2.0,4.0,0.010809898376464844
42,true,5,15,10,74,4200,1.0,2.1784232365145226,9,99.0,34,1.0,2.0,4.0,0.009582996368408203
42,true,5,15,10,75,4250,1.0,2.1873391662377766,9,99.0,34,1.0,2.0,4.0,0.009254932403564453
42,true,5,15,10,76,4300,1.0,2.186070157600407,9,100.0,34,1.0,2.0,4.399999999999864,0.3398921489715576
42,true,5,15,10,77,4350,1.0,2.191435768261965,9,100.0,34,1.0,2.0,5.0,0.01032710075378418
42,true,5,15,10,78,4400,1.0,2.189054726368159,9,100.0,34,1.0,2.0,5.0,0.013987064361572266
42,true,5,15,10,79,4450,1.0,2.1899606299212597,9,100.0,34,1.0,2.0,5.0,0.009924888610839844
42,true,5,15,10,80,4500,1.0,2.2004889975550124,9,100.0,34,1.0,2.0,5.0,0.010040044784545898
42,true,5,15,10,81,4550,1.0,2.2119591638308216,9,100.0,37,1.0,2.0,5.0,0.3584940433502197
42,true,5,15,10,82,4600,1.0,2.2276029055690074,9,100.0,37,1.0,2.0,5.0,0.010788917541503906
42,true,5,15,10,83,4650,1.0,2.244208494208494,9,100.0,37,1.0,2.0,5.0,0.00973200798034668
42,true,5,15,10,84,4700,1.0,2.2617901828681424,9,100.0,37,1.0,2.0,5.0,0.00955510139465332
42,true,5,15,10,85,4750,1.0,2.281460134486071,9,100.0,37,1.0,2.0,5.0,0.010903120040893555
42,true,5,15,10,86,4800,1.0,2.3010546500479387,9,100.0,37,1.0,2.0,5.0,0.3975231647491455
42,true,5,15,10,87,4850,1.0,2.3194643711142993,9,100.0,37,1.0,2.0,5.0,0.011157989501953125
42,true,5,15,10,88,4900,1.0,2.3400191021967527,10,100.0,37,1.0,2.0,5.0,0.008728981018066406
42,true,5,15,10,89,4950,1.0,2.361641221374046,10,100.0,37,1.0,2.0,5.0,0.013875961303710938
42,true,5,15,10,90,5000,1.0,2.385496183206107,11,100.0,37,1.0,2.0,5.0,0.008175134658813477
42,true,5,15,10,91,5050,1.0,2.4093511450381677,13,100.0,38,1.0,2.0,5.0,0.3242158889770508
42,true,5,15,10,92,5100,1.0,2.433206106870229,14,100.0,38,1.0,2.0,5.0,0.010529041290283203
42,true,5,15,10,93,5150,1.0,2.45706106870229,15,100.0,38,1.0,2.0,5.0,0.007965087890625
42,true,5,15,10,94,5200,1.0,2.480916030534351,16,100.0,38,1.0,2.0,5.0,0.008070945739746094
42,true,5,15,10,95,5250,1.0,2.5047709923664123,16,100.0,38,1.0,2.0,5.0,0.008445978164672852
42,true,5,15,10,96,5300,1.0,2.5286259541984735,18,100.0,38,1.0,2.0,5.0,0.3484010696411133
42,true,5,15,10,97,5350,1.0,2.552480916030534,19,100.0,38,1.0,2.0,5.0,0.008374929428100586
42,true,5,15,10,98,5400,1.0,2.5763358778625953,20,100.0,38,1.0,2.0,5.0,0.010724067687988281
42,true,5,15,10,99,5450,1.0,2.6001908396946565,22,100.0,38,1.0,2.0,5.0,0.009723186492919922
42,true,5,15,10,100,5500,1.0,2.6240458015267176,22,100.0,38,1.0,2.0,5.0,0.009566068649291992
