seed,enable_roads,law_every,law_horizon,n_sqrt,step,n_agents,housed_frac,mean_height,max_height,pct_laws,n_roads,height_p10,height_p50,height_p90,elapsed_s
137,true,20,3,10,1,550,1.0,1.3157894736842106,5,0.0,0,1.0,1.0,2.0,0.09033393859863281
137,true,20,3,10,2,600,1.0,1.348314606741573,5,0.0,0,1.0,1.0,2.0,0.00910496711730957
137,true,20,3,10,3,650,1.0,1.365546218487395,5,0.0,0,1.0,1.0,2.0,0.007607936859130859
137,true,20,3,10,4,700,1.0,1.402805611222445,6,0.0,0,1.0,1.0,2.0,0.0074880123138427734
137,true,20,3,10,5,750,1.0,1.4204545454545454,6,0.0,0,1.0,1.0,2.0,0.008381843566894531
137,true,20,3,10,6,800,1.0,1.444043321299639,7,0.0,0,1.0,1.0,2.0,0.008599042892456055
137,true,20,3,10,7,850,1.0,1.468048359240069,7,0.0,0,1.0,1.0,3.0,0.009578943252563477
137,true,20,3,10,8,900,1.0,1.490066225165563,7,0.0,0,1.0,1.0,3.0,0.00999903678894043
137,true,20,3,10,9,950,1.0,1.52,7,0.0,0,1.0,1.0,3.0,0.008367061614990234
137,true,20,3,10,10,1000,1.0,1.5479876160990713,7,0.0,0,1.0,1.0,3.0,0.0071790218353271484
137,true,20,3,10,11,1050,1.0,1.5742128935532234,7,0.0,12,1.0,1.0,3.0,0.009762048721313477
137,true,20,3,10,12,1100,1.0,1.5873015873015872,7,0.0,12,1.0,1.0,3.0,0.007487058639526367
137,true,20,3,10,13,1150,1.0,1.6039051603905161,7,0.0,12,1.0,1.0,3.0,0.009048938751220703
137,true,20,3,10,14,1200,1.0,1.6172506738544474,7,0.0,12,1.0,1.0,3.0,0.008471965789794922
137,true,20,3,10,15,1250,1.0,1.6276041666666667,7,0.0,12,1.0,1.0,3.0,0.008143186569213867
137,true,20,3,10,16,1300,1.0,1.6518424396442186,8,0.0,12,1.0,1.0,3.0,0.0076808929443359375
137,true,20,3,10,17,1350,1.0,1.6728624535315986,8,0.0,12,1.0,1.0,3.0,0.007845878601074219
137,true,20,3,10,18,1400,1.0,1.6928657799274487,8,0.0,12,1.0,1.0,3.0,0.007678985595703125
137,true,20,3,10,19,1450,1.0,1.7018779342723005,8,0.0,12,1.0,1.0,3.0,0.012001991271972656
137,true,20,3,10,20,1500,1.0,1.7241379310344827,8,0.0,12,1.0,1.0,3.0,0.008841991424560547
137,true,20,3,10,21,1550,1.0,1.7260579064587973,8,12.0,20,1.0,1.0,3.0,0.09255194664001465
137,true,20,3,10,22,1600,1.0,1.7486338797814207,8,12.0,20,1.0,1.0,3.0,0.008685111999511719
137,true,20,3,10,23,1650,1.0,1.7571884984025559,8,12.0,20,1.0,1.0,3.0,0.011584043502807617
137,true,20,3,10,24,1700,1.0,1.7745302713987474,8,12.0,20,1.0,1.0,3.0,0.008153200149536133
137,true,20,3,10,25,1750,1.0,1.7911975435005119,8,12.0,20,1.0,1.0,3.0,0.013641119003295898
137,true,20,3,10,26,1800,1.0,1.8054162487462386,8,12.0,20,1.0,1.0,3.0,0.010378837585449219
137,true,20,3,10,27,1850,1.0,1.806640625,8,12.0,20,1.0,1.0,3.0,0.0076141357421875
137,true,20,3,10,28,1900,1.0,1.8164435946462716,8,12.0,20,1.0,1.0,4.0,0.0073320865631103516
137,true,20,3,10,29,1950,1.0,1.8309859154929577,8,12.0,20,1.0,1.0,4.0,0.007812023162841797
137,true,20,3,10,30,2000,1.0,1.8365472910927456,8,12.0,20,1.0,1.0,4.0,0.009232044219970703
137,true,20,3,10,31,2050,1.0,1.8336314847942754,8,12.0,22,1.0,1.0,4.0,0.008491039276123047
137,true,20,3,10,32,2100,1.0,1.8502202643171806,8,12.0,22,1.0,1.0,4.0,0.009989023208618164
137,true,20,3,10,33,2150,1.0,1.8711923411662315,8,12.0,22,1.0,1.0,4.0,0.007993936538696289
137,true,20,3,10,34,2200,1.0,1.8819503849443968,8,12.0,22,1.0,1.0,4.0,0.011230945587158203
137,true,20,3,10,35,2250,1.0,1.8860016764459346,8,12.0,22,1.0,1.0,4.0,0.010196924209594727
137,true,20,3,10,36,2300,1.0,1.902398676592225,8,12.0,22,1.0,1.0,4.0,0.009573936462402344
137,true,20,3,10,37,2350,1.0,1.9090170593013809,8,12.0,22,1.0,1.0,4.0,0.011420011520385742
137,true,20,3,10,38,2400,1.0,1.927710843373494,9,12.0,22,1.0,1.0,4.0,0.008075952529907227
137,true,20,3,10,39,2450,1.0,1.9398258115597784,9,12.0,22,1.0,1.0,4.0,0.008015871047973633
137,true,20,3,10,40,2500,1.0,1.9561815336463224,9,12.0,22,1.0,1.0,4.0,0.011518001556396484
137,true,20,3,10,41,2550,1.0,1.9660755589822667,9,16.0,30,1.0,1.0,4.0,0.11022496223449707
137,true,20,3,10,42,2600,1.0,1.9817073170731707,9,16.0,30,1.0,1.0,4.0,0.007735013961791992
137,true,20,3,10,43,2650,1.0,2.001510574018127,9,16.0,30,1.0,1.0,4.0,0.007727146148681641
137,true,20,3,10,44,2700,1.0,2.0179372197309418,9,16.0,30,1.0,1.0,4.0,0.010969161987304688
137,true,20,3,10,45,2750,1.0,2.0250368188512518,9,16.0,30,1.0,1.0,4.0,0.008179903030395508
137,true,20,3,10,46,2800,1.0,2.036363636363636,9,16.0,30,1.0,1.0,4.0,0.007742166519165039
137,true,20,3,10,47,2850,1.0,2.043010752688172,9,16.0,30,1.0,1.0,4.0,0.01335597038269043
137,true,20,3,10,48,2900,1.0,2.0655270655270654,9,16.0,30,1.0,2.0,4.0,0.00764918327331543
137,true,20,3,10,49,2950,1.0,2.0789288231148695,9,16.0,30,1.0,2.0,4.0,0.008305072784423828
137,true,20,3,10,50,3000,1.0,2.0935101186322402,9,16.0,30,1.0,2.0,4.0,0.007405996322631836
137,true,20,3,10,51,3050,1.0,2.106353591160221,9,16.0,35,1.0,2.0,4.0,0.010349035263061523
137,true,20,3,10,52,3100,1.0,2.1247429746401645,9,16.0,35,1.0,2.0,4.0,0.01043701171875
137,true,20,3,10,53,3150,1.0,2.1384928716904277,9,16.0,35,1.0,2.0,4.0,0.009254932403564453
137,true,20,3,10,54,3200,1.0,2.1476510067114094,9,16.0,35,1.0,2.0,4.0,0.008332967758178711
137,true,20,3,10,55,3250,1.0,2.162341982701264,9,16.0,35,1.0,2.0,4.0,0.008975982666015625
137,true,20,3,10,56,3300,1.0,2.1724818959842,9,16.0,35,1.0,2.0,4.0,0.00865316390991211
137,true,20,3,10,57,3350,1.0,2.175324675324675,9,16.0,35,1.0,2.0,4.099999999999909,0.008488178253173828
137,true,20,3,10,58,3400,1.0,2.1893110109465552,9,16.0,35,1.0,2.0,4.0,0.008375883102416992
137,true,20,3,10,59,3450,1.0,2.196053469127944,9,16.0,35,1.0,2.0,4.0,0.008210897445678711
137,true,20,3,10,60,3500,1.0,2.2151898734177213,9,16.0,35,1.0,2.0,5.0,0.008610963821411133
137,true,20,3,10,61,3550,1.0,2.2229179711959923,9,25.0,40,1.0,2.0,5.0,0.11009407043457031
137,true,20,3,10,62,3600,1.0,2.237414543194531,10,25.0,40,1.0,2.0,5.0,0.008588075637817383
137,true,20,3,10,63,3650,1.0,2.242014742014742,10,25.0,40,1.0,2.0,5.0,0.008699893951416016
137,true,20,3,10,64,3700,1.0,2.254722730042657,10,25.0,40,1.0,2.0,5.0,0.009305953979492188
