seed,enable_roads,law_every,law_horizon,n_sqrt,step,n_agents,housed_frac,mean_height,max_height,pct_laws,n_roads,height_p10,height_p50,height_p90,elapsed_s
42,false,20,15,6,1,550,1.0,1.8518518518518519,7,0.0,0,1.0,1.0,4.0,0.03630208969116211
42,false,20,15,6,2,600,1.0,1.8808777429467085,7,0.0,0,1.0,1.0,4.0,0.002919912338256836
42,false,20,15,6,3,650,1.0,1.9578313253012047,7,0.0,0,1.0,1.0,4.0,0.0029621124267578125
42,false,20,15,6,4,700,1.0,2.0,7,0.0,0,1.0,1.0,4.0,0.003072023391723633
42,false,20,15,6,5,750,1.0,2.043596730245232,7,0.0,0,1.0,1.0,4.0,0.0031981468200683594
42,false,20,15,6,6,800,1.0,2.0833333333333335,7,0.0,0,1.0,1.0,4.7000000000000455,0.003170013427734375
42,false,20,15,6,7,850,1.0,2.135678391959799,8,0.0,0,1.0,2.0,5.0,0.0032041072845458984
42,false,20,15,6,8,900,1.0,2.1634615384615383,9,0.0,0,1.0,2.0,4.500000000000057,0.004601001739501953
42,false,20,15,6,9,950,1.0,2.2093023255813953,9,0.0,0,1.0,2.0,5.0,0.002911090850830078
42,false,20,15,6,10,1000,1.0,2.2271714922048997,9,0.0,0,1.0,2.0,5.0,0.002958059310913086
42,false,20,15,6,11,1050,1.0,2.272727272727273,9,0.0,0,1.0,2.0,5.0,0.0033011436462402344
42,false,20,15,6,12,1100,1.0,2.3255813953488373,9,0.0,0,1.0,2.0,5.0,0.003081083297729492
42,false,20,15,6,13,1150,1.0,2.3565573770491803,9,0.0,0,1.0,2.0,5.0,0.004748106002807617
42,false,20,15,6,14,1200,1.0,2.395209580838323,9,0.0,0,1.0,2.0,5.0,0.004751920700073242
42,false,20,15,6,15,1250,1.0,2.44140625,9,0.0,0,1.0,2.0,5.0,0.003019094467163086
42,false,20,15,6,16,1300,1.0,2.4761904761904763,9,0.0,0,1.0,2.0,5.0,0.0033621788024902344
42,false,20,15,6,17,1350,1.0,2.5,9,0.0,0,1.0,2.0,5.0,0.004909038543701172
42,false,20,15,6,18,1400,1.0,2.527075812274368,9,0.0,0,1.0,2.0,5.0,0.005045890808105469
42,false,20,15,6,19,1450,1.0,2.557319223985891,9,0.0,0,1.0,2.0,5.0,0.0040781497955322266
42,false,20,15,6,20,1500,1.0,2.5996533795493932,9,0.0,0,1.0,2.0,5.0,0.004117012023925781
42,false,20,15,6,21,1550,1.0,2.6138279932546373,9,38.888888888888886,0,1.0,2.0,5.0,0.13524794578552246
42,false,20,15,6,22,1600,1.0,2.6533996683250414,9,38.888888888888886,0,1.0,2.0,5.0,0.003606081008911133
42,false,20,15,6,23,1650,1.0,2.661290322580645,9,38.888888888888886,0,1.0,2.0,5.0,0.007025957107543945
42,false,20,15,6,24,1700,1.0,2.6687598116169546,9,38.888888888888886,0,1.0,2.0,5.0,0.005758047103881836
42,false,20,15,6,25,1750,1.0,2.675840978593272,9,38.888888888888886,0,1.0,2.0,5.0,0.0033528804779052734
42,false,20,15,6,26,1800,1.0,2.690582959641256,9,38.888888888888886,0,1.0,2.0,6.0,0.0030400753021240234
42,false,20,15,6,27,1850,1.0,2.7205882352941178,9,38.888888888888886,0,1.0,2.0,6.0,0.0034761428833007812
42,false,20,15,6,28,1900,1.0,2.7417027417027415,9,38.888888888888886,0,1.0,2.0,6.0,0.003072977066040039
42,false,20,15,6,29,1950,1.0,2.765957446808511,9,38.888888888888886,0,1.0,2.0,6.0,0.003648996353149414
42,false,20,15,6,30,2000,1.0,2.797202797202797,9,38.888888888888886,0,1.0,2.0,6.0,0.0043468475341796875
42,false,20,15,6,31,2050,1.0,2.80437756497948,9,38.888888888888886,0,1.0,2.0,6.0,0.004397869110107422
42,false,20,15,6,32,2100,1.0,2.826379542395693,9,38.888888888888886,0,1.0,2.0,6.0,0.0038559436798095703
